n00007846   person
n12801781   bog star
n12810595   phlox
n12814643   catalpa
n12817694   bugloss
n12821895   garden forget-me-not
n12822955   common comfrey
n12825497   dodder
n12827537   moonflower
n12827907   wild potato vine
n12830222   achimenes
n12830568   aeschynanthus
n12832315   gloxinia
n12834938   Virginia waterleaf
n12837052   California bluebell
n12839979   giant hyssop
n12841193   erect bugle
n12841354   pyramid bugle
n12847374   ground ivy
n12849061   dead nettle
n12850906   dagga
n12858987   lemon mint
n12862828   patchouli
n12870891   wild thyme
n12876899   figwort
n12880244   desert paintbrush
n12883265   yellow foxglove
n12885045   golden-beard penstemon
n12888234   cascade penstemon
n12890265   veronica
n12893463   nightshade
n12895811   potato vine
n12903367   thorn apple
n12909421   petunia
n12909614   large white petunia
n12915140   lantana
n12915568   black mangrove
n12918991   medusa's head
n12919847   leafy spurge
n12920204   poinsettia
n12921660   naboom
n12931231   fool's parsley
n12932706   chervil
n12932966   cow parsley
n12934985   water hemlock
n12938081   eryngo
n12941220   water fennel
n12947544   red osier
n12948251   bunchberry
n12955840   pine fern
n12957924   water clover
n12960552   ribbon fern
n12960863   grape fern
n12974987   slime mold
n12980080   water mold
n12998815   agaric
n13002925   false deathcap
n13003712   destroying angel
n13013764   parasol mushroom
n13020191   straw mushroom
n13025647   yeast
n13029326   Sarcoscypha coccinea
n13030337   elf cup
n13040303   stinkhorn
n13043926   puffball
n13044778   earthstar
n13052014   Oligoporus leucospongia
n13055423   Boletus chrysenteron
n13069773   felt fungus
n13077295   mildew
n13078021   verticillium
n13091620   sporophyll
n13092240   ascospore
n13099999   deciduous plant
n13100156   poisonous plant
n13108323   pollard
n13109733   angiospermous tree
n13120211   liana
n13128976   rachis
n13132656   panicle
n13137672   aggregate fruit
n13137951   simple fruit
n13140367   accessory fruit
n13141564   cascara buckthorn
n13144084   hazel
n13146583   Sauvignon grape
n13146928   Sauvignon blanc
n13151082   watermelon begonia
n13152339   yerba mansa
n13155611   glume
n13158714   obtuse leaf
n13163553   deadwood
n13173697   rock polypody
n13173882   common polypody
n13179804   grass fern
n13181055   bird's nest fern
n13183056   hart's-tongue
n13187367   silver tree
n13193856   male fern
n13195341   holly fern
n13196003   brittle bladder fern
n13200986   leather fern
n13209808   bamboo fern
n13214340   spider brake
n13223843   foxtail grass
n13225365   resurrection plant
n13229951   New York fern
n13232779   honey mushroom
n13233727   milkweed
n13238375   stapelia
n13862552   equilateral
n13865298   cylinder
n13866144   polygon
n13868248   closed curve
n13882487   heptagon
n13882563   octagon
n13882961   rhombus
n13897198   ellipsoid
n13898315   symmetry
n13901321   pipe
n13915023   ovoid
n13919547   wedge
n14131950   herpes
n14564779   wall
n14698884   gravel
n14844693   soil
n14858292   litter
n14891255   Greek fire
n14908027   hip tile
n14975598   papyrus
n15089258   vitamin
n15092751   vitamin K
